index,Year,ArticleNo,Title,Abstract,Author,Affiliation,IEEEKeyword,Reference,ReferenceNo,Citation,CitationNo,Nationality,,,,,,,,,,,,,
11,2008,4475462,Illustrative Streamline Placement and Visualization,"Inspired by the abstracting, focusing and explanatory qualities of diagram drawing in art, in this paper we propose a novel seeding strategy to generate representative and illustrative streamlines in 2D vector fields to enforce visual clarity and evidence. A particular focus of our algorithm is to depict the underlying flow patterns effectively and succinctly with a minimum set of streamlines. To achieve this goal, 2D distance fields are generated to encode the distances from each grid point in the field to the nearby streamlines. A local metric is derived to measure the dissimilarity between the vectors from the original field and an approximate field computed from the distance fields. A global metric is used to measure the dissimilarity between streamlines based on the local errors to decide whether to drop a new seed at a local point. This process is iterated to generate streamlines until no more streamlines can be found that are dissimilar to the existing ones. We present examples of images generated from our algorithm and report results from qualitative analysis and user studies.",Liya Li;Hsien-Hsi Hsieh;Han-Wei Shen,"The Ohio State University. e-mail: lil@cse.ohio-state.edu;National Dong Hua University, Taiwan. e-mail: hsi@game.csie.ndhu.edu.tw;The Ohio State University. e-mail: hwshen@cse.ohio-state.edu",Visualization;Streaming media;Focusing;Image generation;Rendering (computer graphics);Computer graphics;Spatial coherence;Art;Mesh generation;Image analysis,17,1372178;1372178;809863;1634323;1359732;4015453;1532832;809865;885690,12,6643675;6226391;5332228;5613500;4906832;6231627;5346286;5429603;6025348;6264048,US;TW;US,,,,,,,,,,,,,
12,2008,4475463,Optimizing Parallel Performance of Streamline Visualization for Large Distributed Flow Datasets,"Parallel performance has been a challenging topic in streamline visualization for large unstructured flow datasets on parallel distributed-memory computers. It depends strongly on domain partitions. Unsuitable partitions often lead to severe load imbalance and high frequent communications among the domain partitions. To address the problem, we present an approach to flow data partitioning taking account of flow directions and features. Multilevel spectral graph bisection method is employed to reduce communication and synchronization overhead among distributed domains. Edge weights in the corresponding adjacent matrix is defined based on an anisotropic local diffusion operator which assigns strong coupling along flow direction and weak coupling orthogonal to flow. Meanwhile, the distributions of seed points and flow features such as vortex structure are also considered in partitioning so as to obtain good load balance. The experimental results are given to show the feasibility and effectiveness of our method.",Li Chen;Issei Fujishiro,"Institute of Computer Graphics and Computer Aided Design, School of Software, Tsinghua University, Beijing 100084, P.R. China, chen@mail.tsinghua.edu.cn;Institute of Fluid Science, Tohoku University, 2-1-1 Katahira,, Sendai 980-8577, Japan, fuji@vis.ifs.tohokua.ac.jp",Data flow computing;Distributed computing;Computer graphics;Grid computing;Data visualization;Concurrent computing;Anisotropic magnetoresistance;Large-scale systems;Parallel algorithms;Streaming media,30,235223;235223;219449;809863;856995;942691;1372177;1250372;5487517;79452;6771089;689668;745296,13,6264048;6064941;6092318;7176865;6468541;6675152;6378974;6675154;7465254;7013069;6634188;6787134;5070487,CN;JP,,,,,,,,,,,,,
13,2008,4475464,Multiple Views on System Traces,"We present a new method for the visual analysis of multivariate system traces. Our method combines three perspectives: (1) a schematic diagram, (2) time series plots and (3) a state transition graph. After we show how these perspectives are related, we discuss their integration into a single solution for the visual analysis of multivariate system traces. The combination of the three perspectives provides the user with a rich analysis interface that enables gaining significant insight into system behavior. We illustrate some of the advantages of our approach by providing a real-world use case.",A. Johannes Pretorius;Jarke J. van Wijk,Technische Universiteit Eindhoven. e-mail: a.j.pretorius@tue.nl;Technische Universiteit Eindhoven. e-mail: vanwijk@win.tue.nl,Time series analysis;Visualization;Computational modeling;Information analysis;Analytical models;Animation;User interfaces;Graphical user interfaces;Computer graphics;Application software,21,481767;4015418;4302584;299412;4015424;1423126;1173155;963273,2,5429607,NL;NL,,,,,,,,,,,,,
14,2008,4475465,A Novel Visualization System for Expressive Facial Motion Data Exploration,"Facial emotions and expressive facial motions have become an intrinsic part of many graphics systems and human computer interaction applications. The dynamics and high dimensionality of facial motion data make its exploration and processing challenging. In this paper, we propose a novel visualization system for expressive facial motion data exploration. Based on Principal Component Analysis (PCA) dimensionality reduction on anatomical facial sub regions, high dimensional facial motion data is mapped to 3D spaces. We further rendered it as colored 3D trajectories and color represents different emotion. We design an intuitive interface to allow users effectively explore and analyze high dimensional facial motion spaces. The applications of our visualization system on novel facial motion synthesis and emotion recognition are demonstrated.",Tanasai Sucontphunt;Xiaoru Yuan;Qing Li;Zhigang Deng,"Computer Graphics and Interactive Media Lab, Department of CS, University of Houston. e-mail: tanasai@cs.uh.edu;Laboratory of Machine Intelligence, School of EECS, Peking University. e-mail: xiaoru.yuan@gmail.com;Computer Graphics and Interactive Media Lab, Department of CS, University of Houston. e-mail: qingli12@cs.uh.edu;Computer Graphics and Interactive Media Lab, Department of CS, University of Houston. e-mail: zdeng@cs.uh.edu",Data visualization;Computer graphics;Principal component analysis;Motion analysis;Human computer interaction;Application software;Emotion recognition;Space exploration;Mouth;Laboratories,32,1250401;1703372;809866;146402;1580460;6149208;567800,0,,US;CN;US;US,,,,,,,,,,,,,
15,2008,4475466,The Event Tunnel: Interactive Visualization of Complex Event Streams for Business Process Pattern Analysis,"Event-based systems are gaining increasing popularity for building loosely coupled and distributed systems. Since business processes are becoming more interconnected and event-driven, event-based systems fit well for supporting and monitoring business processes. In this paper, we present an event-based business intelligence tool, the Event Tunnel framework. It provides an interactive visualization of event streams to support business analysts in exploring business incidents. The visualization is based on the metaphor of considering the event stream as a cylindrical tunnel, which is presented to the user from multiple perspectives. The information of single events laid out in the Event Tunnel is encoded in event glyphs that allow for a selective mapping of event attributes to colors, size and position. Different policies for the placement of the events in the tunnel as well as a clustering mechanism generate various views on historical event data. The Event Tunnel is able to display the relationships between events. This facilitates users to discover root causes and causal dependencies of event patterns. Our framework couples the event-tunnel visualization with query tools that allow users to search for relevant events within a data repository. Using query, filler and highlighting operations the analyst can navigate through the Event Tunnel until the required information or event patterns become visible. We demonstrate our approach with use cases from the fraud management and logistics domain.",Martin Suntinger;Hannes Obweger;Josef  Schiefer ;M. Eduard Groller,"SENACTIVE IT-Dienstleistungs GmbH. e-mail: martin.suntinger@senactive.com;Institute for Software Technology and Interactive Systems, Vienna University of Technology. e-mail: js@ifs.tuwien.ac.at;SENACTIVE IT-Dienstleistungs GmbH. e-mail: hannes.obweger@senactive.com;Institute of Computer Graphics and Algorithms, Vienna University of Technology. e-mail: groeller@cg.tuwien.ac.at",Pattern analysis;Data visualization;Navigation;Logistics;Interactive systems;Computer graphics;Software algorithms;Computerized monitoring;Displays;Information filtering,15,4285240;981851;963273,12,5290711;5677518;7363826;5477138;5368616;5613487;6634088;7156368;5210820;4770098,AT;AT;AT;AT,,,,,,,,,,,,,
16,2008,4475467,Height Ridge Computation and Filtering for Visualization,"Motivated by the growing interest in the use of ridges in scientific visualization, we analyze the two height ridge definitions by Eberly and Lindeberg. We propose a raw feature definition leading to a superset of the ridge points as obtained by these two definitions. The set of raw feature points has the correct dimensionality, and it can be narrowed down to either Eberly's or Lindeberg's ridges by using Boolean filters which we formulate. While the straight-forward computation of height ridges requires explicit eigenvalue calculation, this can be avoided by using an equivalent definition of the raw feature set, for which we give a derivation. We describe efficient algorithms for two special cases, height ridges of dimension one and of co-dimension one. As an alternative to the aforementioned filters, we propose a new criterion for filtering raw features based on the distance between contours which generally makes better decisions, as we demonstrate on a few synthetic fields, a topographical dataset, and a fluid flow simulation dataset. The same set of test data shows that it is unavoidable to use further filters to eliminate false positives. For this purpose, we use the angle between feature tangent and slope line as a quality measure and, based on this, formalize a previously published filter.",Ronald Peikert;Filip Sadlo,ETH Zurich. e-mail: peikert@inf.ethz.ch;ETH Zurich. e-mail: sadlo@inf.ethz.ch,Filtering;Surface topography;Data visualization;Filters;Computer vision;Integral equations;Eigenvalues and eigenfunctions;Fluid flow;Computational modeling;Testing,27,35197;809896;4376174;4276078;790315,11,5887325;6183582;6327221;4840340;5290735;5613499;6064954;6875965;6327244,CH;CH,,,,,,,,,,,,,
17,2008,4475468,An Adaptive Gauss Filtering Method,"An adaptive filtering method for volume data is presented in this paper. In this filtering method, the input data set is re-sampled to create a hierarchy of multiple-level data sets. A data classification task is performed at each level of the data pyramid to decide the local structure types. Data voxels are classified as linear, planar, or blob structures, based on the gradients and the eigenvalues of Hessian matrices. The classification results are used to adjust the shapes and orientations of filters such that noises are suppressed while key features are preserved.",Shyh-Kuang Ueng;Hai-Peng Cheng;Ruey-Yuan Lu,"Department of Computer Science, National Taiwan Ocean University. e-mail: skueng@mail.ntou.edu.tw;Department of Computer Science, National Taiwan Ocean University. e-mail: m94570034@mail.ntou.edu.tw;Department of Computer Science, National Taiwan Ocean University. e-mail: b93570004@mail.ntou.edu.tw",Gaussian processes;Adaptive filters;Filtering;Transmission line matrix methods;Eigenvalues and eigenfunctions;Noise shaping;Data visualization;Shape;Data mining;Transfer functions,15,558039;652711;1250397;856997;1183799;1250425,0,,TW;TW;TW,,,,,,,,,,,,,
18,2008,4475469,Multi-resolution Volume Rendering of Large Time-Varying Data using Video-based Compression,"We present a new framework that combines the hierarchical multi-resolution representation with video-based compression to manage and render large scale time-varying data. In the preprocessing step, the proposed method first constructs a multi-resolution hierarchy using octree structure for each individual time step, and then applies a motion-compensation-based prediction to compress the octree nodes. During rendering stage, the data is decompressed on-the-fly and rendered using hardware texture mapping. The proposed approach eliminates the hierarchical decompression dependency commonly found in the conventional hierarchical wavelet representation methods, which leads to a more efficient reconstruction of data along the time axis. The system provides the user with a spatial region-of-interest (ROI) to adjust the spatial level-of-detail (LOD) selection, and a temporal ROI which is a sub-region only for frequent update during playback. With a suitable control of both ROIs, our system can reach an interactive playback frame rate. This allows the user to observe the dynamic nature of large time-varying data sets.",Chia-Lin Ko;Horng-Shyang Liao;Tsai-Pei Wang;Kuang-Wei Fu;Ching-Yao Lin;Jung-Hong Chuang,"Department of Computer Science, National Chiao Tung University. e-mail: clko@csie.nctu.edu.tw;Department of Computer Science, National Chiao Tung University; National Center for High-performance Computing. e-mail: hsliao@nchc.org.tw;Department of Computer Science, National Chiao Tung University. e-mail: wangts@cs.nctu.edu.tw;Department of Computer Science, National Chiao Tung University. e-mail: kwfu@cs.nctu.edu.tw;National Center for High-performance Computing. e-mail: chingyao@nchc.org.tw;Department of Computer Science, National Chiao Tung University. e-mail: jhchuang@cs.nctu.edu.tw",Multiresolution analysis;Hardware;Interpolation;Wavelet transforms;Spatial resolution;Computer graphics;Data visualization;Rendering (computer graphics);Computer science;Data communication,23,729583;729583;1374281;809910;558039;4015461;4015403,1,5728946,TW;TW;TW;TW;TW,,,,,,,,,,,,,
19,2008,4475470,Interactive Storyboard for Overall Time-Varying Data Visualization,"Large amounts of time-varying datasets create great challenges for users to understand and explore them. This paper proposes an efficient visualization method for observing overall data contents and changes throughout an entire time-varying dataset. We develop an interactive storyboard approach by composing sample volume renderings and descriptive geometric primitives that are generated through data analysis processes. Our storyboard system integrates automatic visualization generation methods and interactive adjustment procedures to provide new tools for visualizing and exploring time-varying datasets. We also provide a flexible framework to quantify data differences and automatically select representative datasets through exploring scientific data distribution features. Since this approach reduces the visualized data amount into a more understandable size and format for users, it can be used to effectively visualize, represent, and explore a large time-varying dataset. Initial user study results show that our approach shortens the exploration time and reduces the number of datasets that users visualized individually. This visualization method is especially useful for situations that require close observance or are not capable of interactive rendering, such as documentation and demonstration.",Aidong Lu;Han-Wei Shen,University of North Carolina at Charlotte. e-mail: aidong.lu@uncc.edu;The Ohio State University. e-mail: hwshen@cis.ohio-state.edu,Data visualization;Data analysis;Feature extraction;Time varying systems;Computer graphics;Documentation;Information analysis;Shadow mapping;Acceleration;Rendering (computer graphics),35,468404;468404;4015469;1238382;885703;1250374;1532857;1240860;299407;597796;1541996;1333660;4015449;710733,10,6064965;6875981;6875941;6378975;6062784;6094055;7539644;5232780;6596138,US;US,,,,,,,,,,,,,
20,2008,4475471,FanLens: A Visual Toolkit for Dynamically Exploring the Distribution of Hierarchical Attributes,"Radial, space-filling visualization is very useful for representing the distribution of attributes in hierarchical data; however it also suffers from its drawbacks in terms of view transition, context preservation, thin slices, flexibility and large sized data support. To address these problems, we propose FanLens, an enhancement upon existing approaches with new features like incremental layout and fisheye distortion based selecting. This visual toolkit also features dynamic hierarchy specification, dynamic visual property mapping, smooth animation, etc. We illustrate the effectiveness of our technique with two examples of case study and results from informal user experiments.",Xinghua Lou;Shixia Liu;Tianshu Wang,IBM China Research Lab. e-mail: xinghua.lou@iwr.uni-heidelberg.de;IBM China Research Lab. e-mail: liusx@cn.ibm.com;IBM China Research Lab. e-mail: wangtsh@cn.ibm.com,Data visualization;Electronic mail;Animation;User interfaces;Web search;Stock markets;Data mining;Tree graphs,20,885102;1320166;885102;1320166;1173148;736450;885091;801859;1173151,6,6912178;6182418;7756154;6689415;4906844,CN;CN;CN,,,,,,,,,,,,,
21,2008,4475472,Pixelplexing: Gaining Display Resolution Through Time,"Animation is frequently utilized to visually depict change in time- varying data sets. For this task, it is a natural fit. Yet explicit animation is rarely employed for static data. We discuss the use of animation to overcome three common limitations faced by information visualization applications in the context of small-display devices: constraints on the output display, limited interaction possibilities, and high data density. We provide concrete examples of applying animation to combat such limitations for four common visualization types: geospatial data, treemaps, parallel coordinate displays, and large graphs. Unlike previous work which examines animation for maintaining user orientation during view changes or for displaying data variables, we discuss animation's utility for multiplexing available screen space. In the context of constrained displays, we demonstrate its ability to effectively gain screen resolution, to quickly uncover trends, to help find unexpected data patterns, and to reduce visual clutter.",James Shearer;Michael Ogawa;Kwan-Liu Ma;Toby Kohlenberg,"Visualization and Interaction Design Innovation (VIDi) Lab, University of California, Davis. e-mail: jjshearer@ucdavis.edu;Visualization and Interaction Design Innovation (VIDi) Lab, University of California, Davis. e-mail: msogawa@ucdavis.edu;Visualization and Interaction Design Innovation (VIDi) Lab, University of California, Davis. e-mail: ma@cs.ucdavis.edu;Intel Corporation. e-mail: toby.kohlenberg@intel.com",Data visualization;Keyboards;Facial animation;Large screen displays;Filtering;Mice;Technological innovation;Concrete;Tree graphs;Scalability,31,4376143;1173156;4015425;146402;1532138;175815;1183805;4015444;545307;1249004,3,6787138;5613435,US;US;US;US,,,,,,,,,,,,,
22,2008,4475473,WhatsOnWeb+ : An Enhanced Visual Search Clustering Engine,"The paper describes WhatsOnWeb+, a search clustering engine that allows users to browse and analyze the results of a query by means of enhanced graph visualization techniques. WhatsOnWeb+ integrates a wide array of visual interfaces, animation and interaction functionalities, and clustering technologies. The effectiveness of the different visual interfaces and of the different clustering algorithms implemented in the system has been measured by means of an extensive experimental analysis. The described system represents a significant evolution of a previous clustering engine for the Web.",Emilio Di Giacomo;Walter Didimo;Luca Grilli;Giuseppe Liotta;Pietro Palladino,"Dipartimento di Ingegneria Elettronica e dell'Informazione, Universit? degli Studi di Perugia, Italy. e-mail: digiacomo@diei.unipg.it;Dipartimento di Ingegneria Elettronica e dell'Informazione, Universit? degli Studi di Perugia, Italy. e-mail: didimo@diei.unipg.it;Dipartimento di Ingegneria Elettronica e dell'Informazione, Universit? degli Studi di Perugia, Italy. e-mail: grilli@diei.unipg.it;Dipartimento di Ingegneria Elettronica e dell'Informazione, Universit? degli Studi di Perugia, Italy. e-mail: liotta@diei.unipg.it;Dipartimento di Ingegneria Elettronica e dell'Informazione, Universit? degli Studi di Perugia, Italy. e-mail: palladino@diei.unipg.it",Search engines;Clustering algorithms;Visualization;Tree graphs;Displays;Performance evaluation;Animation;Algorithm design and analysis;Internet;Data mining,25,4293711;929925;4293711;929925;1509117;1509067;4069238;1410319;1703363;4061258;1702828;1028828;545307,1,,IT;IT;IT;IT;IT,,,,,,,,,,,,,
